"","horizontalPosition","verticalPosition","t","mean_vswc","n"
"48","2","502",2020-05-24 11:00:00,0.219115789473684,19
"49","2","502",2020-05-24 23:00:00,0.2273375,24
"50","2","502",2020-05-25 11:00:00,0.221982608695652,23
"51","2","502",2020-05-25 23:00:00,0.238168181818182,22
"52","2","502",2020-05-26 11:00:00,0.229765217391304,23
"53","2","502",2020-05-26 23:00:00,0.243766666666667,21
"54","2","502",2020-05-27 11:00:00,0.237666666666667,24
"55","2","502",2020-05-27 23:00:00,0.247584210526316,19
"56","2","502",2020-05-28 11:00:00,0.240817647058824,17
"57","2","502",2020-05-28 23:00:00,0.252652173913043,23
"58","2","502",2020-05-29 11:00:00,0.243754545454545,22
"59","2","502",2020-05-29 23:00:00,0.250808695652174,23
"60","2","502",2020-05-30 11:00:00,0.244705555555556,18
"61","2","502",2020-05-30 23:00:00,0.2486875,8
"62","2","502",2020-05-31 11:00:00,0.244654545454545,11
"63","2","502",2020-05-31 23:00:00,0.249841666666667,12
"64","2","502",2020-06-01 11:00:00,0.242955,20
"65","2","502",2020-06-01 23:00:00,0.248095454545455,22
"66","2","502",2020-06-02 11:00:00,0.240282608695652,23
"67","2","502",2020-06-02 23:00:00,0.24672380952381,21
"68","2","502",2020-06-03 11:00:00,0.238133333333333,24
"69","2","502",2020-06-03 23:00:00,0.246681818181818,22
"70","2","502",2020-06-04 11:00:00,0.237481818181818,22
"71","2","502",2020-06-04 23:00:00,0.24107619047619,21
"72","2","502",2020-06-05 11:00:00,0.232222727272727,22
"73","2","502",2020-06-05 23:00:00,0.238804545454545,22
"74","2","502",2020-06-06 11:00:00,0.2328,4
"75","2","502",2020-06-06 23:00:00,0.223971428571429,14
"76","2","502",2020-06-07 11:00:00,0.214121052631579,19
"77","2","502",2020-06-07 23:00:00,0.210605555555556,18
"78","2","502",2020-06-08 11:00:00,0.204484210526316,19
"79","2","502",2020-06-08 23:00:00,0.20713,20
"80","2","502",2020-06-09 11:00:00,0.204066666666667,21
"81","2","502",2020-06-09 23:00:00,0.221947826086957,23
"82","2","502",2020-06-10 11:00:00,0.214273913043478,23
"83","2","502",2020-06-10 23:00:00,0.227009523809524,21
"84","2","502",2020-06-11 11:00:00,0.220478260869565,23
"85","2","502",2020-06-11 23:00:00,0.2357875,24
"86","2","502",2020-06-12 11:00:00,0.226917391304348,23
"87","2","502",2020-06-12 23:00:00,0.238857894736842,19
"88","2","502",2020-06-13 11:00:00,0.229592857142857,14
"89","2","502",2020-06-13 23:00:00,0.22905,12
"90","2","502",2020-06-14 11:00:00,0.224234782608696,23
"91","2","502",2020-06-14 23:00:00,0.235538095238095,21
"92","2","502",2020-06-15 11:00:00,0.227995238095238,21
"93","2","502",2020-06-15 23:00:00,0.237961538461538,13
"94","2","502",2020-06-16 11:00:00,0.231428571428571,21
"95","2","502",2020-06-16 23:00:00,0.237591304347826,23
"96","2","502",2020-06-17 11:00:00,0.227784210526316,19
"97","2","502",2020-06-17 23:00:00,0.2323,19
"98","2","502",2020-06-18 11:00:00,0.224025,20
"99","2","502",2020-06-18 23:00:00,0.230578947368421,19
"100","2","502",2020-06-19 11:00:00,0.222536363636364,22
"101","2","502",2020-06-19 23:00:00,0.23305,20
"102","2","502",2020-06-20 11:00:00,0.224895238095238,21
"103","2","502",2020-06-20 23:00:00,0.232535714285714,14
"104","2","502",2020-06-21 11:00:00,0.226679166666667,24
"105","2","502",2020-06-21 23:00:00,0.23742380952381,21
"106","2","502",2020-06-22 11:00:00,0.229786956521739,23
"107","2","502",2020-06-22 23:00:00,0.2384,23
"108","2","502",2020-06-23 11:00:00,0.228061904761905,21
"109","2","502",2020-06-23 23:00:00,0.237236363636364,22
"110","2","502",2020-06-24 11:00:00,0.22624347826087,23
"111","2","502",2020-06-24 23:00:00,0.235266666666667,21
"112","2","502",2020-06-25 11:00:00,0.227269565217391,23
"113","2","502",2020-06-25 23:00:00,0.230242105263158,19
"114","2","502",2020-06-26 11:00:00,0.222513636363636,22
"115","2","502",2020-06-26 23:00:00,0.22885,22
"116","2","502",2020-06-27 11:00:00,0.219152173913043,23
"117","2","502",2020-06-27 23:00:00,0.22744,20
"118","2","502",2020-06-28 11:00:00,0.219057142857143,14
"119","2","502",2020-06-28 23:00:00,0.21435,22
"120","2","502",2020-06-29 11:00:00,0.204025,24
"121","2","502",2020-06-29 23:00:00,0.205066666666667,21
"122","2","502",2020-06-30 11:00:00,0.1988,20
"123","2","502",2020-06-30 23:00:00,0.203557142857143,21
"124","2","502",2020-07-01 11:00:00,0.198809090909091,22
"125","2","502",2020-07-01 23:00:00,0.210695,20
"126","2","502",2020-07-02 11:00:00,0.205104347826087,23
"127","2","502",2020-07-02 23:00:00,0.21412,20
"128","2","502",2020-07-03 11:00:00,0.207495833333333,24
"129","2","502",2020-07-03 23:00:00,0.217161904761905,21
"130","2","502",2020-07-04 11:00:00,0.20995,24
"131","2","502",2020-07-04 23:00:00,0.218408333333333,24
"132","2","502",2020-07-05 11:00:00,0.209947826086957,23
"133","2","502",2020-07-05 23:00:00,0.218917391304348,23
"134","2","502",2020-07-06 11:00:00,0.208852173913043,23
"135","2","502",2020-07-06 23:00:00,0.216878260869565,23
"136","2","502",2020-07-07 11:00:00,0.208891304347826,23
"137","2","502",2020-07-07 23:00:00,0.2142625,24
"138","2","502",2020-07-08 11:00:00,0.20405652173913,23
"139","2","502",2020-07-08 23:00:00,0.211059090909091,22
"140","2","502",2020-07-09 11:00:00,0.200947826086957,23
"141","2","502",2020-07-09 23:00:00,0.207879166666667,24
"142","2","502",2020-07-10 11:00:00,0.199,24
"143","2","502",2020-07-10 23:00:00,0.206030434782609,23
"144","2","502",2020-07-11 11:00:00,0.196613043478261,23
"145","2","502",2020-07-11 23:00:00,0.205065217391304,23
"146","2","502",2020-07-12 11:00:00,0.197509523809524,21
"147","2","502",2020-07-12 23:00:00,0.203004761904762,21
"148","2","502",2020-07-13 11:00:00,0.19432380952381,21
"149","2","502",2020-07-13 23:00:00,0.198761904761905,21
"150","2","502",2020-07-14 11:00:00,0.190240909090909,22
"151","2","502",2020-07-14 23:00:00,0.194378260869565,23
"152","2","502",2020-07-15 11:00:00,0.186309090909091,22
"153","2","502",2020-07-15 23:00:00,0.191781818181818,22
"154","2","502",2020-07-16 11:00:00,0.18337,20
"155","2","502",2020-07-16 23:00:00,0.188668181818182,22
"156","2","502",2020-07-17 11:00:00,0.181454545454545,22
"157","2","502",2020-07-17 23:00:00,0.185078947368421,19
"158","2","502",2020-07-18 11:00:00,0.178904761904762,21
"159","2","502",2020-07-18 23:00:00,0.184454545454545,22
"160","2","502",2020-07-19 11:00:00,0.176904545454545,22
"161","2","502",2020-07-19 23:00:00,0.180359090909091,22
"162","2","502",2020-07-20 11:00:00,0.173209523809524,21
"163","2","502",2020-07-20 23:00:00,0.178366666666667,21
"164","2","502",2020-07-21 11:00:00,0.171035,20
"165","2","502",2020-07-21 23:00:00,0.17547619047619,21
"166","2","502",2020-07-22 11:00:00,0.168088888888889,18
"167","2","502",2020-07-22 23:00:00,0.165917647058824,17
"168","2","502",2020-07-23 11:00:00,0.162136842105263,19
"169","2","502",2020-07-23 23:00:00,0.164823076923077,13
"170","2","502",2020-07-24 11:00:00,0.1616125,24
"171","2","502",2020-07-24 23:00:00,0.167782608695652,23
"172","2","502",2020-07-25 11:00:00,0.163031818181818,22
"173","2","502",2020-07-25 23:00:00,0.16712380952381,21
"174","2","502",2020-07-26 11:00:00,0.161119047619048,21
"175","2","502",2020-07-26 23:00:00,0.1651,23
"176","2","502",2020-07-27 11:00:00,0.1590875,24
"177","2","502",2020-07-27 23:00:00,0.160742857142857,21
"178","2","502",2020-07-28 11:00:00,0.156083333333333,24
"179","2","502",2020-07-28 23:00:00,0.16216,20
"180","2","502",2020-07-29 11:00:00,0.156704166666667,24
"181","2","502",2020-07-29 23:00:00,0.162725,20
"182","2","502",2020-07-30 11:00:00,0.156586956521739,23
"183","2","502",2020-07-30 23:00:00,0.163786956521739,23
"184","2","502",2020-07-31 11:00:00,0.156541666666667,24
"185","2","502",2020-07-31 23:00:00,0.1637,3
"186","2","503",2020-04-30 23:00:00,0.258763157894737,19
"187","2","503",2020-05-01 11:00:00,0.253953333333333,15
"188","2","503",2020-05-01 23:00:00,0.254675,16
"189","2","503",2020-05-02 11:00:00,0.250464285714286,14
"190","2","503",2020-05-02 23:00:00,0.251692307692308,13
"191","2","503",2020-05-03 11:00:00,0.248538888888889,18
"192","2","503",2020-05-03 23:00:00,0.24856,15
"193","2","503",2020-05-04 11:00:00,0.244147058823529,17
"194","2","503",2020-05-04 23:00:00,0.245905882352941,17
"195","2","503",2020-05-05 11:00:00,0.241068421052632,19
"196","2","503",2020-05-05 23:00:00,0.243911764705882,17
"197","2","503",2020-05-06 11:00:00,0.239841176470588,17
"198","2","503",2020-05-06 23:00:00,0.242289473684211,19
"199","2","503",2020-05-07 11:00:00,0.2383875,16
"200","2","503",2020-05-07 23:00:00,0.23875,18
"201","2","503",2020-05-08 11:00:00,0.23336,20
"202","2","503",2020-05-08 23:00:00,0.235845,20
"203","2","503",2020-05-09 11:00:00,0.231966666666667,18
"204","2","503",2020-05-09 23:00:00,0.23485,18
"205","2","503",2020-05-10 11:00:00,0.230942105263158,19
"206","2","503",2020-05-10 23:00:00,0.23287,20
"207","2","503",2020-05-11 11:00:00,0.230770588235294,17
"208","2","503",2020-05-11 23:00:00,0.231911111111111,18
"209","2","503",2020-05-12 11:00:00,0.228405555555556,18
"210","2","503",2020-05-12 23:00:00,0.229553333333333,15
"211","2","503",2020-05-13 11:00:00,0.226344444444444,18
"212","2","503",2020-05-13 23:00:00,0.22649,20
"213","2","503",2020-05-14 11:00:00,0.223078947368421,19
"214","2","503",2020-05-14 23:00:00,0.223982352941176,17
"215","2","503",2020-05-15 11:00:00,0.221294444444444,18
"216","2","503",2020-05-15 23:00:00,0.222095238095238,21
"217","2","503",2020-05-16 11:00:00,0.219061111111111,18
"218","2","503",2020-05-16 23:00:00,0.220573684210526,19
"219","2","503",2020-05-17 11:00:00,0.217594117647059,17
"220","2","503",2020-05-17 23:00:00,0.218538888888889,18
"221","2","503",2020-05-18 11:00:00,0.217394444444444,18
"222","2","503",2020-05-18 23:00:00,0.217752631578947,19
