"","t","mean_temp","n","na","percent_complete"
"110",2020-06-28 15:00:00,26.4568,120,0,1
"111",2020-06-29 03:00:00,15.2919416666667,120,0,1
"112",2020-06-29 15:00:00,20.494875,120,0,1
"113",2020-06-30 03:00:00,14.41275,120,0,1
"114",2020-06-30 15:00:00,21.2749416666667,120,0,1
"115",2020-07-01 03:00:00,14.5080833333333,120,0,1
"116",2020-07-01 15:00:00,26.449725,120,0,1
"117",2020-07-02 03:00:00,19.771175,120,0,1
"118",2020-07-02 15:00:00,28.9977583333333,120,0,1
"119",2020-07-03 03:00:00,20.8277416666667,120,0,1
"120",2020-07-03 15:00:00,30.9688916666667,120,0,1
"121",2020-07-04 03:00:00,22.2124666666667,120,0,1
"122",2020-07-04 15:00:00,32.7762583333333,120,0,1
"123",2020-07-05 03:00:00,21.8520166666667,120,0,1
"124",2020-07-05 15:00:00,34.34405,120,0,1
"125",2020-07-06 03:00:00,21.883525,120,0,1
"126",2020-07-06 15:00:00,33.95975,120,0,1
"127",2020-07-07 03:00:00,24.51145,120,0,1
"128",2020-07-07 15:00:00,34.47305,120,0,1
"129",2020-07-08 03:00:00,21.5074083333333,120,0,1
"130",2020-07-08 15:00:00,34.255525,120,0,1
"131",2020-07-09 03:00:00,21.3607833333333,120,0,1
"132",2020-07-09 15:00:00,33.9320416666667,120,0,1
"133",2020-07-10 03:00:00,22.5004083333333,120,0,1
"134",2020-07-10 15:00:00,35.360425,120,0,1
"135",2020-07-11 03:00:00,22.2581833333333,120,0,1
"136",2020-07-11 15:00:00,36.1969833333333,120,0,1
"137",2020-07-12 03:00:00,25.5407833333333,120,0,1
"138",2020-07-12 15:00:00,37.523425,120,0,1
"139",2020-07-13 03:00:00,25.1142333333333,120,0,1
"140",2020-07-13 15:00:00,36.3945666666667,120,0,1
"141",2020-07-14 03:00:00,24.7013833333333,120,0,1
"142",2020-07-14 15:00:00,35.2994666666667,120,0,1
"143",2020-07-15 03:00:00,23.8879916666667,120,0,1
"144",2020-07-15 15:00:00,36.24425,120,0,1
"145",2020-07-16 03:00:00,23.136175,120,0,1
"146",2020-07-16 15:00:00,35.3980833333333,120,0,1
"147",2020-07-17 03:00:00,24.53315,120,0,1
"148",2020-07-17 15:00:00,35.866375,120,0,1
"149",2020-07-18 03:00:00,24.7223916666667,120,0,1
"150",2020-07-18 15:00:00,37.5359833333333,120,0,1
"151",2020-07-19 03:00:00,24.8935166666667,120,0,1
"152",2020-07-19 15:00:00,36.514125,120,0,1
"153",2020-07-20 03:00:00,23.9424916666667,120,0,1
"154",2020-07-20 15:00:00,37.0703333333333,120,0,1
"155",2020-07-21 03:00:00,24.07025,120,0,1
"156",2020-07-21 15:00:00,35.3056833333333,120,0,1
"157",2020-07-22 03:00:00,27.0256916666667,120,0,1
"158",2020-07-22 15:00:00,26.67285,120,0,1
"159",2020-07-23 03:00:00,19.7990416666667,120,0,1
"160",2020-07-23 15:00:00,29.65635,120,0,1
"161",2020-07-24 03:00:00,21.7443166666667,120,0,1
"162",2020-07-24 15:00:00,33.394575,120,0,1
"163",2020-07-25 03:00:00,23.5874,120,0,1
"164",2020-07-25 15:00:00,34.4775833333333,120,0,1
"165",2020-07-26 03:00:00,23.0281391304348,115,0,1
"166",2020-07-26 15:00:00,33.9677058823529,119,0,1
"167",2020-07-27 03:00:00,22.94615,120,0,1
"168",2020-07-27 15:00:00,30.8061525423729,118,0,1
"169",2020-07-28 03:00:00,20.53925,120,0,1
"170",2020-07-28 15:00:00,33.4049583333333,120,0,1
"171",2020-07-29 03:00:00,22.3136083333333,120,0,1
"172",2020-07-29 15:00:00,35.177675,120,0,1
"173",2020-07-30 03:00:00,23.386325,120,0,1
"174",2020-07-30 15:00:00,36.5481754385965,114,0,1
"175",2020-07-31 03:00:00,24.3568833333333,120,0,1
"176",2020-07-31 15:00:00,35.9944947368421,95,0,1
