"","t","bulk_precip","n"
"160",2020-07-19 12:00:00,0,142
"161",2020-07-20 00:00:00,0,144
"162",2020-07-20 12:00:00,0,143
"163",2020-07-21 00:00:00,0,144
"164",2020-07-21 12:00:00,0,143
"165",2020-07-22 00:00:00,0,144
"166",2020-07-22 12:00:00,0,144
"167",2020-07-23 00:00:00,0,144
"168",2020-07-23 12:00:00,0,141
"169",2020-07-24 00:00:00,0,144
"170",2020-07-24 12:00:00,0,143
"171",2020-07-25 00:00:00,0,143
"172",2020-07-25 12:00:00,0,144
"173",2020-07-26 00:00:00,0,144
"174",2020-07-26 12:00:00,0,144
"175",2020-07-27 00:00:00,0,144
"176",2020-07-27 12:00:00,0,142
"177",2020-07-28 00:00:00,0,144
"178",2020-07-28 12:00:00,0,144
"179",2020-07-29 00:00:00,0,144
"180",2020-07-29 12:00:00,0,144
"181",2020-07-30 00:00:00,0,144
"182",2020-07-30 12:00:00,0,144
"183",2020-07-31 00:00:00,0,144
"184",2020-07-31 12:00:00,0,144
