Date,Site,Profile,Cover,Depth (cm),Temperature ©,PicarroH2O (notes),Picarro O018 (notes),Picarro 2H (notes),Method,Picarro File O-18,Picarro File O-18 stDev,Picarro File H-2,Picarro File H-2 stDev,Calibrated O,Calibrated O SE,Calibrated H,Calibrated H SE,Calibrated Dexcess,Calibrated Dexcess SE
7/16/2019 0:00,ONAQ,2,Sage,5,21.8,21110,-10.8,-140,in-lab isowagon,-10.8,,-140,,1.008722507,0.490468645,-70.56049165,2.716251702,-78.63027171,4.772193495
7/16/2019 0:00,ONAQ,2,Sage,15,22.3,20419,-20.9,-166,in-lab isowagon,-20.9,,-166,,-9.159418679,0.515010595,-96.99937099,2.852166844,-23.72402156,5.010983352
7/16/2019 0:00,ONAQ,2,Sage,25,22.3,20805,-24.5,-180,in-lab isowagon,-24.5,,-180,,-12.75941868,0.515010595,-110.999371,2.852166844,-8.924021559,5.010983352
7/16/2019 0:00,ONAQ,2,Sage,40,22.9,20980,-24.9,-178,in-lab isowagon,-24.9,,-178,,-13.24029274,0.545162339,-109.5159286,3.019149433,-3.593586734,5.304355732
7/16/2019 0:00,ONAQ,2,Sage,60,23,21190,-21.1,-165,in-lab isowagon,-21.1,,-165,,-9.453676785,0.55026202,-96.60095063,3.047391848,-20.97153635,5.353974945
7/16/2019 0:00,ONAQ,2,Sage,100,22.4,20323,-21.1,-162,in-lab isowagon,-21.1,,-162,,-9.372965519,0.519982749,-93.0862289,2.879703001,-18.10250474,5.059361738
7/16/2019 0:00,ONAQ,3,Grass,5,22.3,14600,-10,-140,in-lab isowagon,-10,,-140,,1.740581321,0.515010595,-70.99937099,2.852166844,-84.92402156,5.010983352
7/16/2019 0:00,ONAQ,3,Grass,15,22.5,20600,-19.6,-164,in-lab isowagon,-19.6,,-164,,-7.886485228,0.524976158,-95.17278082,2.907356868,-32.080899,5.107946927
7/16/2019 0:00,ONAQ,3,Grass,25,22.9,21200,-25.6,-184,in-lab isowagon,-25.6,,-184,,-13.94029274,0.545162339,-115.5159286,3.019149433,-3.993586734,5.304355732
7/16/2019 0:00,ONAQ,3,Grass,40,23.1,21600,-27.5,-192,in-lab isowagon,-27.5,,-192,,-15.8670337,0.555382957,-123.6856666,3.075751973,3.25060297,5.403800962
7/16/2019 0:00,ONAQ,3,Grass,60,22.8,21600,-26.5,-188,in-lab isowagon,-26.5,,-188,,-14.82688156,0.540083912,-119.4306007,2.991024727,-0.815548193,5.254943324
7/16/2019 0:00,ONAQ,3,Grass,100,22.7,20449,-22.7,-173,in-lab isowagon,-22.7,,-173,,-11.01344325,0.535026739,-104.3449667,2.963017731,-16.23742072,5.205737721
8/1/2019 0:00,ONAQ,1,Bare,5,29.16075,21000,-10,-127,in-situ isowagon,-10.06794024,0.220514837,-127.398653,0.523982105,0.806151071,0.90543117,-63.64748658,5.014344921,-70.09669515,8.809722677
8/1/2019 0:00,ONAQ,1,Bare,10,28.48616667,20800,-16.3,-153.5,in-situ isowagon,-16.20625941,0.228944164,-153.2257978,0.524693015,-5.25263172,0.862608195,-89.0223233,4.777188113,-47.00126954,8.393060931
8/1/2019 0:00,ONAQ,1,Bare,15,22.94266667,20000,-22,-172,in-situ isowagon,-21.38535619,0.302535449,-172.3107068,0.640002978,-9.73136277,0.547335603,-103.8629489,3.031185133,-26.01204674,5.325501302
8/1/2019 0:00,ONAQ,1,Bare,25,23.2438,17000,-24,-179,in-situ isowagon,-24.47815118,0.531867406,-182.0529454,0.566264532,-12.86434457,0.562784121,-113.8598973,3.116740169,-10.94514079,5.475813287
8/1/2019 0:00,ONAQ,1,Bare,40,28.08166667,20000,-26.5,-190,in-situ isowagon,-26.29105387,0.425813779,-189.9905653,1.527569559,-15.28914168,0.837394151,-125.5091956,4.637550868,-3.196062187,8.147731696
8/1/2019 0:00,ONAQ,1,Bare,60,24.65016667,22000,-23.5,-180,in-situ isowagon,-24.18645161,0.206585521,-181.9714785,0.529425915,-12.75706949,0.637484506,-114.9312481,3.530436439,-12.87469221,6.202637922
8/1/2019 0:00,ONAQ,1,Bare,100,21.21866667,20000,-21,-168,in-situ isowagon,-21.46450312,0.402559103,-166.7948725,0.9865764,-9.57570234,0.462602585,-96.83547641,2.5619274,-20.22985769,4.501060512
8/1/2019 0:00,ONAQ,2,Sage,5,31.6785,24000,-6.8,-99,in-situ isowagon,-7.16411095,0.205220933,-99.50387349,0.79109336,3.424030174,1.073801224,-37.31788994,5.946790753,-64.71013134,10.4479405
8/1/2019 0:00,ONAQ,2,Sage,10,30.77966667,16500,-13.2,-135.5938964,in-situ isowagon,-14.05418821,0.196568991,-137.4113098,0.532575583,-3.365937313,1.012146925,-74.68882067,5.605344677,-47.76132217,9.848052516
8/1/2019 0:00,ONAQ,2,Sage,15,24.14166667,14700,-15,-150,in-situ isowagon,-14.97542785,0.241041236,-151.4838594,0.54430313,-3.47998275,0.609989882,-84.03378983,3.378169171,-56.19392782,5.935118948
8/1/2019 0:00,ONAQ,2,Sage,25,23.5786,17700,-19.2,-165,in-situ isowagon,-19.24787844,0.288356974,-165.7526643,1.619504392,-7.678462664,0.580186047,-97.83954506,3.213113327,-36.41184375,5.645131675
8/1/2019 0:00,ONAQ,2,Sage,40,28.058,18600,-20,-165,in-situ isowagon,-19.7342486,0.245135381,-165.2675909,0.71860794,-8.729497608,0.835929686,-100.769807,4.629440548,-30.93382613,8.133482644
8/1/2019 0:00,ONAQ,2,Sage,60,24.6375,18600,-19,-160,in-situ isowagon,-18.60885039,0.354587499,-158.2232977,0.61934619,-7.177831168,0.636792945,-91.17295439,3.526606518,-33.75030505,6.195909118
8/1/2019 0:00,ONAQ,2,Sage,100,21.21533333,17900,-19.5,-160,in-situ isowagon,-19.82345786,0.29294464,-159.9571269,1.02195735,-7.93419527,0.462444874,-89.99471992,2.561053983,-26.52115775,4.499526002
8/1/2019 0:00,ONAQ,3,Grass,5,32.54275,24000,-13.5,-128,in-situ isowagon,-13.87205925,0.200264313,-129.9906361,0.6856986,-3.378108959,1.134702655,-68.29720337,6.284067392,-41.27233169,11.04050317
8/1/2019 0:00,ONAQ,3,Grass,10,31.59641667,23000,-15,-146,in-situ isowagon,-14.08276051,0.518066929,-143.540491,1.542975638,-3.485568104,1.068099577,-81.30653833,5.915214614,-53.4219935,10.39246425
8/1/2019 0:00,ONAQ,3,Grass,15,25.32733333,22500,-15.9,-154,in-situ isowagon,-15.84018915,0.274251514,-153.7477076,1.115771296,-4.497693533,0.674952208,-87.24097407,3.737935346,-51.25942581,6.567193583
8/1/2019 0:00,ONAQ,3,Grass,25,24.0028,16000,-22,-176,in-situ isowagon,-22.67617656,0.311455117,-177.4253402,1.073379283,-11.16256831,0.60257689,-109.861972,3.337115473,-20.56142551,5.862991542
