"","t","mean_rh","n","na","percent_complete"
"110",2020-06-28 15:00:00,31.6458333333333,24,0,1
"111",2020-06-29 03:00:00,81.9345833333333,24,0,1
"112",2020-06-29 15:00:00,44.1808333333333,24,0,1
"113",2020-06-30 03:00:00,57.2625,24,0,1
"114",2020-06-30 15:00:00,31.3825,24,0,1
"115",2020-07-01 03:00:00,55.6158333333333,24,0,1
"116",2020-07-01 15:00:00,11.9266666666667,24,0,1
"117",2020-07-02 03:00:00,20.3904166666667,24,0,1
"118",2020-07-02 15:00:00,12.3225,24,0,1
"119",2020-07-03 03:00:00,21.13625,24,0,1
"120",2020-07-03 15:00:00,12.5833333333333,24,0,1
"121",2020-07-04 03:00:00,26.5825,24,0,1
"122",2020-07-04 15:00:00,10.455,24,0,1
"123",2020-07-05 03:00:00,25.5279166666667,24,0,1
"124",2020-07-05 15:00:00,11.11375,24,0,1
"125",2020-07-06 03:00:00,30.005,24,0,1
"126",2020-07-06 15:00:00,9.35666666666667,24,0,1
"127",2020-07-07 03:00:00,12.5891666666667,24,0,1
"128",2020-07-07 15:00:00,8.99666666666667,24,0,1
"129",2020-07-08 03:00:00,33.3441666666667,24,0,1
"130",2020-07-08 15:00:00,15.69625,24,0,1
"131",2020-07-09 03:00:00,31.32625,24,0,1
"132",2020-07-09 15:00:00,8.11166666666667,24,0,1
"133",2020-07-10 03:00:00,10.0179166666667,24,0,1
"134",2020-07-10 15:00:00,7.27625,24,0,1
"135",2020-07-11 03:00:00,22.9,24,0,1
"136",2020-07-11 15:00:00,8.67458333333333,24,0,1
"137",2020-07-12 03:00:00,22.5416666666667,24,0,1
"138",2020-07-12 15:00:00,9.79416666666667,24,0,1
"139",2020-07-13 03:00:00,20.3108333333333,24,0,1
"140",2020-07-13 15:00:00,13.5666666666667,24,0,1
"141",2020-07-14 03:00:00,30.6108333333333,24,0,1
"142",2020-07-14 15:00:00,15.8708333333333,24,0,1
"143",2020-07-15 03:00:00,24.8629166666667,24,0,1
"144",2020-07-15 15:00:00,12.5904166666667,24,0,1
"145",2020-07-16 03:00:00,24.4345833333333,24,0,1
"146",2020-07-16 15:00:00,11.52,24,0,1
"147",2020-07-17 03:00:00,26.28625,24,0,1
"148",2020-07-17 15:00:00,8.98291666666667,24,0,1
"149",2020-07-18 03:00:00,18.7804166666667,24,0,1
"150",2020-07-18 15:00:00,12.2779166666667,24,0,1
"151",2020-07-19 03:00:00,32.3079166666667,24,0,1
"152",2020-07-19 15:00:00,14.9904166666667,24,0,1
"153",2020-07-20 03:00:00,25.0425,24,0,1
"154",2020-07-20 15:00:00,12.05125,24,0,1
"155",2020-07-21 03:00:00,25.5033333333333,24,0,1
"156",2020-07-21 15:00:00,12.2941666666667,24,0,1
"157",2020-07-22 03:00:00,23.9408333333333,24,0,1
"158",2020-07-22 15:00:00,50.4133333333333,24,0,1
"159",2020-07-23 03:00:00,70.6454166666667,24,0,1
"160",2020-07-23 15:00:00,23.1429166666667,24,0,1
"161",2020-07-24 03:00:00,42.8025,24,0,1
"162",2020-07-24 15:00:00,15.99875,24,0,1
"163",2020-07-25 03:00:00,35.39,24,0,1
"164",2020-07-25 15:00:00,12.7375,24,0,1
"165",2020-07-26 03:00:00,31.3595833333333,24,0,1
"166",2020-07-26 15:00:00,15.8408333333333,24,0,1
"167",2020-07-27 03:00:00,31.3916666666667,24,0,1
"168",2020-07-27 15:00:00,26.9408333333333,24,0,1
"169",2020-07-28 03:00:00,60.9066666666667,24,0,1
"170",2020-07-28 15:00:00,20.9845833333333,24,0,1
"171",2020-07-29 03:00:00,50.6779166666667,24,0,1
"172",2020-07-29 15:00:00,20.8479166666667,24,0,1
"173",2020-07-30 03:00:00,31.6241666666667,24,0,1
"174",2020-07-30 15:00:00,11.0095454545455,22,0,1
"175",2020-07-31 03:00:00,25.1566666666667,24,0,1
"176",2020-07-31 15:00:00,7.99421052631579,19,0,1
