"","t","mean_nsae_h2o","n","na","percent_complete"
"87",2020-06-17 03:00:00,11.9392148292541,24,21,0.125
"88",2020-06-17 15:00:00,NA,24,24,0
"89",2020-06-18 03:00:00,15.7378181917427,24,21,0.125
"90",2020-06-18 15:00:00,8.93856924713451,24,15,0.375
"91",2020-06-19 03:00:00,3.25959751397953,24,19,0.208333333333333
"92",2020-06-19 15:00:00,25.774610257586,24,17,0.291666666666667
"93",2020-06-20 03:00:00,NA,24,24,0
"94",2020-06-20 15:00:00,NA,24,24,0
"95",2020-06-21 03:00:00,21.6182902001678,24,23,0.0416666666666666
"96",2020-06-21 15:00:00,18.9501510832004,24,17,0.291666666666667
"97",2020-06-22 03:00:00,-1.42539065324104,24,5,0.791666666666667
"98",2020-06-22 15:00:00,29.6888467812962,24,17,0.291666666666667
"99",2020-06-23 03:00:00,5.32101653299553,24,12,0.5
"100",2020-06-23 15:00:00,40.7440550313258,24,19,0.208333333333333
"101",2020-06-24 03:00:00,NA,24,24,0
"102",2020-06-24 15:00:00,3.63859984406357,24,22,0.0833333333333334
"103",2020-06-25 03:00:00,1.48610302214739,24,14,0.416666666666667
"104",2020-06-25 15:00:00,24.6200556167161,24,16,0.333333333333333
"105",2020-06-26 03:00:00,-0.0521550250451667,24,14,0.416666666666667
"106",2020-06-26 15:00:00,23.0454155067346,24,16,0.333333333333333
"107",2020-06-27 03:00:00,-2.41250979898918,24,18,0.25
"108",2020-06-27 15:00:00,43.4981443295659,24,22,0.0833333333333334
"109",2020-06-28 03:00:00,11.1327392739596,24,11,0.541666666666667
"110",2020-06-28 15:00:00,31.8714113006605,24,8,0.666666666666667
"111",2020-06-29 03:00:00,NA,24,24,0
"112",2020-06-29 15:00:00,125.757996804279,24,21,0.125
"113",2020-06-30 03:00:00,3.83042293804093,24,21,0.125
"114",2020-06-30 15:00:00,43.6303461132042,24,20,0.166666666666667
"115",2020-07-01 03:00:00,17.7978487524439,24,23,0.0416666666666666
"116",2020-07-01 15:00:00,NA,24,24,0
"117",2020-07-02 03:00:00,NA,24,24,0
"118",2020-07-02 15:00:00,NA,24,24,0
"119",2020-07-03 03:00:00,NA,24,24,0
"120",2020-07-03 15:00:00,NA,24,24,0
"121",2020-07-04 03:00:00,0.47856870012543,24,22,0.0833333333333334
"122",2020-07-04 15:00:00,NA,24,24,0
"123",2020-07-05 03:00:00,NA,24,24,0
"124",2020-07-05 15:00:00,33.8146757099577,24,21,0.125
"125",2020-07-06 03:00:00,NA,24,24,0
"126",2020-07-06 15:00:00,15.8227032569358,24,23,0.0416666666666666
"127",2020-07-07 03:00:00,NA,24,24,0
"128",2020-07-07 15:00:00,NA,24,24,0
"129",2020-07-08 03:00:00,2.98539043377102,24,17,0.291666666666667
"130",2020-07-08 15:00:00,19.0124673945324,24,22,0.0833333333333334
"131",2020-07-09 03:00:00,NA,24,24,0
"132",2020-07-09 15:00:00,NA,24,24,0
"133",2020-07-10 03:00:00,NA,24,24,0
"134",2020-07-10 15:00:00,NA,24,24,0
"135",2020-07-11 03:00:00,NA,24,24,0
"136",2020-07-11 15:00:00,NA,24,24,0
"137",2020-07-12 03:00:00,NA,24,24,0
"138",2020-07-12 15:00:00,NA,24,24,0
"139",2020-07-13 03:00:00,-6.12757536091588,24,22,0.0833333333333334
"140",2020-07-13 15:00:00,26.8024576222679,24,21,0.125
"141",2020-07-14 03:00:00,-0.233686376452539,24,16,0.333333333333333
"142",2020-07-14 15:00:00,NA,24,24,0
"143",2020-07-15 03:00:00,-7.90467417386669,24,23,0.0416666666666666
"144",2020-07-15 15:00:00,NA,24,24,0
"145",2020-07-16 03:00:00,NA,24,24,0
"146",2020-07-16 15:00:00,NA,24,24,0
"147",2020-07-17 03:00:00,NA,24,24,0
"148",2020-07-17 15:00:00,51.9417487576907,24,23,0.0416666666666666
"149",2020-07-18 03:00:00,-13.3906050633882,24,22,0.0833333333333334
"150",2020-07-18 15:00:00,NA,24,24,0
"151",2020-07-19 03:00:00,NA,24,24,0
"152",2020-07-19 15:00:00,NA,24,24,0
"153",2020-07-20 03:00:00,NA,24,24,0
"154",2020-07-20 15:00:00,NA,24,24,0
"155",2020-07-21 03:00:00,NA,24,24,0
"156",2020-07-21 15:00:00,NA,24,24,0
