"","dateTime","d18O.m","d18O.sd"
"1",2020-05-05 03:00:00,-8.6596988021973,3.63643010273721
"2",2020-05-05 15:00:00,-8.6596988021973,3.63643010273721
"3",2020-05-06 03:00:00,-8.6596988021973,3.63643010273721
"4",2020-05-06 15:00:00,-8.6596988021973,3.63643010273721
"5",2020-05-07 03:00:00,-8.6596988021973,3.63643010273721
"6",2020-05-07 15:00:00,-9.55565149701894,4.19891282985761
"7",2020-05-08 03:00:00,-9.55565149701894,4.19891282985761
"8",2020-05-08 15:00:00,-9.55565149701894,4.19891282985761
"9",2020-05-09 03:00:00,-9.55565149701894,4.19891282985761
"10",2020-05-09 15:00:00,-9.55565149701894,4.19891282985761
"11",2020-05-10 03:00:00,-8.84395130140392,3.79395513468124
"12",2020-05-10 15:00:00,-8.84395130140392,3.79395513468124
"13",2020-05-11 03:00:00,-8.84395130140392,3.79395513468124
"14",2020-05-11 15:00:00,-8.84395130140392,3.79395513468124
"15",2020-05-12 03:00:00,-8.84395130140392,3.79395513468124
"16",2020-05-12 15:00:00,-8.33381923682536,3.55791588148918
"17",2020-05-13 03:00:00,-8.33381923682536,3.55791588148918
"18",2020-05-13 15:00:00,-8.74161834124043,3.90757344242387
"19",2020-05-14 03:00:00,-8.74161834124043,3.90757344242387
"20",2020-05-14 15:00:00,-8.74161834124043,3.90757344242387
"21",2020-05-15 03:00:00,-7.67373589705277,3.76641370665205
"22",2020-05-15 15:00:00,-7.67373589705277,3.76641370665205
"23",2020-05-16 03:00:00,-7.67373589705277,3.76641370665205
"24",2020-05-16 15:00:00,-7.67373589705277,3.76641370665205
"25",2020-05-17 03:00:00,-7.67373589705277,3.76641370665205
"26",2020-05-17 15:00:00,-7.67373589705277,3.76641370665205
"27",2020-05-18 03:00:00,-7.67373589705277,3.76641370665205
"28",2020-05-18 15:00:00,-7.67373589705277,3.76641370665205
"29",2020-05-19 03:00:00,-7.6722476494558,3.99485865840155
"30",2020-05-19 15:00:00,-7.6722476494558,3.99485865840155
"31",2020-05-20 03:00:00,-7.6722476494558,3.99485865840155
"32",2020-05-20 15:00:00,-7.6722476494558,3.99485865840155
"33",2020-05-21 03:00:00,-7.6722476494558,3.99485865840155
"34",2020-05-21 15:00:00,-7.6722476494558,3.99485865840155
"35",2020-05-22 03:00:00,-7.6722476494558,3.99485865840155
"36",2020-05-22 15:00:00,-13.8653662848163,2.81192659691989
"37",2020-05-23 03:00:00,-13.8653662848163,2.81192659691989
"38",2020-05-23 15:00:00,-7.03078157674802,4.15349738727353
"39",2020-05-24 03:00:00,-7.03078157674802,4.15349738727353
"40",2020-05-24 15:00:00,-6.91449562603691,3.93954581871324
"41",2020-05-25 03:00:00,-6.91449562603691,3.93954581871324
"42",2020-05-25 15:00:00,-6.91449562603691,3.93954581871324
"43",2020-05-26 03:00:00,-6.91449562603691,3.93954581871324
"44",2020-05-26 15:00:00,-6.91449562603691,3.93954581871324
"45",2020-05-27 03:00:00,-6.91449562603691,3.93954581871324
"46",2020-05-27 15:00:00,-6.91449562603691,3.93954581871324
"47",2020-05-28 03:00:00,-6.91449562603691,3.93954581871324
"48",2020-05-28 15:00:00,-6.91449562603691,3.93954581871324
"49",2020-05-29 03:00:00,-6.91449562603691,3.93954581871324
"50",2020-05-29 15:00:00,-6.91449562603691,3.93954581871324
"51",2020-05-30 03:00:00,-5.57509587246465,4.02031341801294
"52",2020-05-30 15:00:00,-5.57509587246465,4.02031341801294
"53",2020-05-31 03:00:00,-5.57509587246465,4.02031341801294
"54",2020-05-31 15:00:00,-5.57509587246465,4.02031341801294
"55",2020-06-01 03:00:00,-5.57509587246465,4.02031341801294
"56",2020-06-01 15:00:00,-5.57509587246465,4.02031341801294
"57",2020-06-02 03:00:00,-5.57509587246465,4.02031341801294
"58",2020-06-02 15:00:00,-5.57509587246465,4.02031341801294
"59",2020-06-03 03:00:00,-5.57509587246465,4.02031341801294
"60",2020-06-03 15:00:00,-5.57509587246465,4.02031341801294
"61",2020-06-04 03:00:00,-5.57509587246465,4.02031341801294
"62",2020-06-04 15:00:00,-6.08989575177331,4.25008041168582
"63",2020-06-05 03:00:00,-6.08989575177331,4.25008041168582
"64",2020-06-05 15:00:00,-6.08989575177331,4.25008041168582
"65",2020-06-06 03:00:00,-6.08989575177331,4.25008041168582
"66",2020-06-06 15:00:00,-6.08989575177331,4.25008041168582
"67",2020-06-07 03:00:00,-9.71031589162321,3.60517800846403
"68",2020-06-07 15:00:00,-9.71031589162321,3.60517800846403
"69",2020-06-08 03:00:00,-9.71031589162321,3.60517800846403
"70",2020-06-08 15:00:00,-9.71031589162321,3.60517800846403
"71",2020-06-09 03:00:00,-9.71031589162321,3.60517800846403
"72",2020-06-09 15:00:00,-5.37411490096282,4.14057931054843
"73",2020-06-10 03:00:00,-5.37411490096282,4.14057931054843
"74",2020-06-10 15:00:00,-5.37411490096282,4.14057931054843
"75",2020-06-11 03:00:00,-4.85423633245457,3.57637557254815
"76",2020-06-11 15:00:00,-4.85423633245457,3.57637557254815
"77",2020-06-12 03:00:00,-4.85423633245457,3.57637557254815
"78",2020-06-12 15:00:00,-4.85423633245457,3.57637557254815
"79",2020-06-13 03:00:00,-4.85423633245457,3.57637557254815
"80",2020-06-13 15:00:00,-4.29523008888748,3.85802056915576
"81",2020-06-14 03:00:00,-4.29523008888748,3.85802056915576
"82",2020-06-14 15:00:00,-4.29523008888748,3.85802056915576
"83",2020-06-15 03:00:00,-4.29523008888748,3.85802056915576
"84",2020-06-15 15:00:00,-4.29523008888748,3.85802056915576
