"","level","t","mean_d18O","mean_d2H","mean_spec_hum","n"
"1",1,2020-05-06,-19.7308823529412,-160.66,5.35829411764706,35
"2",1,2020-05-07,-19.446,-151.247647058824,6.31485714285714,35
"3",1,2020-05-08,-21.8991428571429,-172.537,4.1234,35
"4",1,2020-05-09,-21.0269444444444,-169.330857142857,6.03602777777778,36
"5",1,2020-05-10,-20.3530555555556,-166.623055555556,5.86644444444444,36
"6",1,2020-05-11,-13.1454285714286,-103.788529411765,10.2902571428571,35
"7",1,2020-05-12,-21.318,-168.470294117647,4.956,36
"8",1,2020-05-13,-19.2434285714286,-153.510606060606,10.6117428571429,35
"9",1,2020-05-14,-20.3789473684211,-165.203888888889,9.95705263157895,38
"10",1,2020-05-15,-21.3165714285714,-172.198285714286,10.6252,35
"11",1,2020-05-16,-21.2089189189189,-170.098648648649,9.16767567567568,37
"12",1,2020-05-17,-20.9388888888889,-170.6153125,9.15805555555556,36
"13",1,2020-05-18,-19.0951428571429,-152.626875,9.03734285714286,36
"14",1,2020-05-19,-20.1977142857143,-160.940882352941,7.0348,35
"15",1,2020-05-20,-22.6872222222222,-185.176896551724,6.78230555555556,36
"16",1,2020-05-21,-23.5672222222222,-192.149705882353,9.15211111111111,36
"17",1,2020-05-22,-24.0411428571429,-196.464848484848,6.33777142857143,35
"18",1,2020-05-23,-23.7111764705882,-182.705588235294,9.87991176470588,34
"19",1,2020-05-24,-23.0902777777778,-178.892121212121,8.78513888888889,36
"20",1,2020-05-25,-24.9005128205128,-195.081578947368,7.81489743589744,40
"21",1,2020-05-26,-24.2074285714286,-190.882058823529,8.73274285714286,35
"22",1,2020-05-27,-21.825,-177.660555555556,13.0751666666667,36
"23",1,2020-05-28,-23.6291891891892,-191.968333333333,14.6897027027027,37
"24",1,2020-05-29,-22.0454285714286,-181.774117647059,14.6120285714286,35
"25",1,2020-05-30,-20.61,-166.143235294118,10.6946857142857,35
"26",1,2020-05-31,-19.5245945945946,-155.208,10.3442972972973,37
"27",1,2020-06-01,-26.2858333333333,-208.148148148148,6.35913888888889,36
"28",1,2020-06-02,-23.0226315789474,-187.157631578947,10.4013157894737,38
"29",1,2020-06-03,-20.9508108108108,-173.256111111111,10.5428918918919,37
"30",1,2020-06-04,-22.5244444444444,-181.492903225806,8.75811111111111,37
"31",1,2020-06-05,-19.9397222222222,-161.685151515152,9.32783333333333,36
"32",1,2020-06-06,-16.0747368421053,-121.879333333333,11.2156842105263,19
"33",1,2020-06-07,-19.3815384615385,-149.0568,13.7091538461538,26
"34",1,2020-06-08,-23.8,-182.9409375,8.82638888888889,36
"35",1,2020-06-09,-23.3988888888889,-184.116111111111,8.83466666666667,36
"36",1,2020-06-10,-22.9291891891892,-180.024722222222,9.16724324324324,37
"37",1,2020-06-11,-22.9294285714286,-180.475882352941,8.71825714285714,35
"38",1,2020-06-12,-24.1997222222222,-188.342424242424,6.38847222222222,36
"39",1,2020-06-13,-25.4045714285714,-195.471875,4.73631428571429,35
"40",1,2020-06-14,-25.281,-203.1625,8.096725,40
"41",1,2020-06-15,-22.7817142857143,-183.684411764706,9.50422857142857,35
"42",1,2020-06-16,-23.7186486486486,-190.504545454545,11.3873243243243,37
"43",1,2020-06-17,-24.7484615384615,-191.895897435897,12.0108461538462,39
"44",1,2020-06-18,-24.9851428571429,-198.689428571429,9.45608571428571,35
"45",1,2020-06-19,-28.1657142857143,-223.135428571429,9.72422857142857,36
"46",1,2020-06-20,-25.8225714285714,-206.983823529412,9.12445714285714,35
"47",1,2020-06-21,-24.7927027027027,-199.125294117647,9.49308108108108,37
"48",1,2020-06-22,-21.6662857142857,-171.212666666667,12.9812285714286,35
"49",1,2020-06-23,-22.4775,-183.575625,11.4512222222222,36
"50",1,2020-06-24,-25.8205555555556,-206.793225806452,8.66086111111111,36
"51",1,2020-06-25,-21.75,-176.171282051282,13.2015384615385,39
"52",1,2020-06-26,-21.4691666666667,-172.73,14.3335,36
"53",1,2020-06-27,-21.3442857142857,-171.997428571429,9.85777142857143,35
"54",1,2020-06-28,-17.9666666666667,-147.549166666667,12.0861666666667,36
"55",1,2020-06-29,-20.1935,-156.28027027027,13.295525,41
"56",1,2020-06-30,-25.2702857142857,-194.596785714286,11.0763142857143,35
"57",1,2020-07-01,-25.7128571428571,-204.335428571429,9.519,36
"58",1,2020-07-02,-21.042,-167.612857142857,7.81188571428571,35
"59",1,2020-07-03,-22.5186486486487,-176.4484375,8.579,37
"60",1,2020-07-04,-23.3454285714286,-183.898285714286,9.81651428571429,35
"61",1,2020-07-05,-22.1197222222222,-178.775,8.87477777777778,36
"62",1,2020-07-06,-21.5172222222222,-174.198235294118,8.56,36
"63",1,2020-07-07,-23.4283333333333,-185.78303030303,6.32077777777778,36
"64",1,2020-07-08,-21.1117948717949,-170.556388888889,10.1285897435897,39
"65",1,2020-07-09,-21.7524324324324,-176.29,8.05294594594595,37
"66",1,2020-07-10,-24.9475675675676,-197.718787878788,4.57843243243243,37
"67",1,2020-07-11,-22.1971428571429,-181.417142857143,7.50602857142857,35
"68",1,2020-07-12,-19.2811428571429,-159.31625,9.43791428571429,35
"69",1,2020-07-13,-19.7408333333333,-160.335142857143,9.12088888888889,36
"70",1,2020-07-14,-21.6313157894737,-171.848918918919,11.2284736842105,38
"71",1,2020-07-15,-23.532,-184.480714285714,9.18334285714286,35
"72",1,2020-07-16,-23.51,-186.309210526316,8.75586842105263,38
"73",1,2020-07-17,-24.4405405405405,-194.988285714286,9.51634210526316,38
"74",1,2020-07-18,-24.7880555555556,-197.959375,8.85025,36
"75",1,2020-07-19,-20.8489743589744,-172.196666666667,12.1652051282051,39
"76",1,2020-07-20,-22.4468571428571,-180.456764705882,9.49528571428571,35
"77",1,2020-07-21,-24.4611111111111,-195.693611111111,9.352,36
"78",1,2020-07-22,-20.0445714285714,-167.269333333333,15.3758285714286,36
"79",1,2020-07-23,-17.5914814814815,-135.478333333333,16.6443333333333,27
"80",1,2020-07-24,-16.0777777777778,-124.656,13.1498611111111,36
"81",1,2020-07-25,-16.2942105263158,-128.738947368421,11.4237105263158,38
"82",1,2020-07-26,-15.1568571428571,-118.927352941176,11.2474857142857,35
"83",1,2020-07-27,-15.2927027027027,-122.321142857143,11.9274324324324,37
"84",1,2020-07-28,-11.6654054054054,-88.8211428571429,17.2874054054054,37
"85",1,2020-07-29,-14.1523333333333,-110.695333333333,16.0367333333333,30
"86",1,2020-07-30,-16.8,-131.997142857143,10.156,7
"87",1,2020-07-31,-17.598,-139.072888888889,8.59973333333333,45
"88",1,2020-08-01,-17.7611111111111,-142.296388888889,7.80527777777778,39
"89",2,2020-05-06,-19.9137142857143,-160.190322580645,5.26431428571429,36
"90",2,2020-05-07,-19.5547222222222,-151.333428571429,6.28505555555556,36
"91",2,2020-05-08,-22.1172972972973,-175.181388888889,4.10508108108108,37
"92",2,2020-05-09,-21.2978378378378,-171.160810810811,6.01051351351351,37
"93",2,2020-05-10,-20.6813888888889,-167.799444444444,5.70311111111111,36
"94",2,2020-05-11,-13.2644444444444,-105.521176470588,10.1916111111111,36
"95",2,2020-05-12,-21.4875675675676,-169.256944444444,4.91124324324324,37
"96",2,2020-05-13,-19.3518918918919,-154.276571428571,10.4237027027027,37
"97",2,2020-05-14,-20.5111111111111,-165.99303030303,9.84102777777778,36
"98",2,2020-05-15,-21.412972972973,-172.584324324324,10.5687837837838,37
"99",2,2020-05-16,-21.3243243243243,-170.445675675676,9.14932432432432,37
"100",2,2020-05-17,-21.2907894736842,-172.846764705882,9.07281578947368,38
"101",2,2020-05-18,-19.1280555555556,-153.135882352941,9.02125,36
"102",2,2020-05-19,-20.2562162162162,-160.885,7.00075675675676,37
"103",2,2020-05-20,-22.8094594594595,-182.490714285714,6.82421621621622,37
"104",2,2020-05-21,-24.0125,-194.382727272727,8.86005555555556,36
"105",2,2020-05-22,-24.2564864864865,-197.039428571429,6.33527027027027,37
"106",2,2020-05-23,-23.8472222222222,-184.53,9.68544444444444,36
"107",2,2020-05-24,-23.2377142857143,-179.7990625,8.6646,35
"108",2,2020-05-25,-25.3643243243243,-198.337027027027,7.657,37
"109",2,2020-05-26,-24.3876315789474,-192.136578947368,8.62289473684211,38
"110",2,2020-05-27,-21.9456756756757,-177.701142857143,12.9148648648649,40
"111",2,2020-05-28,-23.8605555555556,-193.284411764706,14.5345833333333,36
"112",2,2020-05-29,-22.2111111111111,-182.54,14.469,36
"113",2,2020-05-30,-20.7072972972973,-167.412857142857,10.6181351351351,37
"114",2,2020-05-31,-19.6371052631579,-156.468529411765,10.1630526315789,38
"115",2,2020-06-01,-26.3252777777778,-208.74275862069,6.33775,36
"116",2,2020-06-02,-22.7094444444444,-181.633235294118,10.7215833333333,36
"117",2,2020-06-03,-21.152972972973,-173.343823529412,10.4243783783784,37
"118",2,2020-06-04,-22.75325,-182.976388888889,8.6548,41
"119",2,2020-06-05,-20.1713157894737,-162.57,9.29352631578947,38
"120",2,2020-06-06,-16.127,-122.776470588235,11.1911,20
"121",2,2020-06-07,-19.845625,-153.906333333333,13.9016875,32
"122",2,2020-06-08,-23.9743243243243,-184.211714285714,8.59472972972973,37
"123",2,2020-06-09,-23.7725,-186.779166666667,8.65525,36
"124",2,2020-06-10,-23.0972972972973,-181.357027027027,9.10483783783784,37
"125",2,2020-06-11,-23.2861111111111,-181.756363636364,8.56155555555556,37
"126",2,2020-06-12,-24.6762162162162,-189.422580645161,6.13267567567568,38
"127",2,2020-06-13,-25.5089189189189,-193.755666666667,4.67010810810811,37
"128",2,2020-06-14,-25.3716666666667,-202.275172413793,8.07780555555556,36
"129",2,2020-06-15,-23.0145,-184.947179487179,9.308775,40
"130",2,2020-06-16,-23.7989189189189,-190.038888888889,11.5506216216216,37
"131",2,2020-06-17,-24.9352777777778,-192.482,11.77075,37
