"","horizontalPosition","verticalPosition","t","mean_vswc","n","na","percent_complete"
"220","002","502",2020-05-27 03:00:00,0.240478260869565,23,0,1
"221","002","502",2020-05-27 15:00:00,0.242304166666667,24,0,1
"222","002","502",2020-05-28 03:00:00,0.243773333333333,15,0,1
"223","002","502",2020-05-28 15:00:00,0.246838095238095,21,0,1
"224","002","502",2020-05-29 03:00:00,0.248804545454545,22,0,1
"225","002","502",2020-05-29 15:00:00,0.246865217391304,23,0,1
"226","002","502",2020-05-30 03:00:00,0.248463157894737,19,0,1
"227","002","502",2020-05-30 15:00:00,0.246464705882353,17,0,1
"228","002","502",2020-05-31 03:00:00,0.246016666666667,6,0,1
"229","002","502",2020-05-31 15:00:00,0.246764285714286,14,0,1
"230","002","502",2020-06-01 03:00:00,0.246435714285714,14,0,1
"231","002","502",2020-06-01 15:00:00,0.245325,20,0,1
"232","002","502",2020-06-02 03:00:00,0.244591666666667,24,0,1
"233","002","502",2020-06-02 15:00:00,0.243328571428571,21,0,1
"234","002","502",2020-06-03 03:00:00,0.24255652173913,23,0,1
"235","002","502",2020-06-03 15:00:00,0.241554545454545,22,0,1
"236","002","502",2020-06-04 03:00:00,0.242720833333333,24,0,1
"237","002","502",2020-06-04 15:00:00,0.239694736842105,19,0,1
"238","002","502",2020-06-05 03:00:00,0.237091666666667,24,0,1
"239","002","502",2020-06-05 15:00:00,0.2353,21,0,1
"240","002","502",2020-06-06 03:00:00,0.236821052631579,19,0,1
"241","002","502",2020-06-06 15:00:00,0.229,1,0,1
"242","002","502",2020-06-07 03:00:00,0.221010526315789,19,0,1
"243","002","502",2020-06-07 15:00:00,0.213755555555556,18,0,1
"244","002","502",2020-06-08 03:00:00,0.207436842105263,19,0,1
"245","002","502",2020-06-08 15:00:00,0.206161111111111,18,0,1
"246","002","502",2020-06-09 03:00:00,0.204377272727273,22,0,1
"247","002","502",2020-06-09 15:00:00,0.212677272727273,22,0,1
"248","002","502",2020-06-10 03:00:00,0.217634782608696,23,0,1
"249","002","502",2020-06-10 15:00:00,0.219571428571429,21,0,1
"250","002","502",2020-06-11 03:00:00,0.223091304347826,23,0,1
"251","002","502",2020-06-11 15:00:00,0.227626086956522,23,0,1
"252","002","502",2020-06-12 03:00:00,0.231391666666667,24,0,1
"253","002","502",2020-06-12 15:00:00,0.232026086956522,23,0,1
"254","002","502",2020-06-13 03:00:00,0.23569375,16,0,1
"255","002","502",2020-06-13 15:00:00,0.22951,10,0,1
"256","002","502",2020-06-14 03:00:00,0.226278947368421,19,0,1
"257","002","502",2020-06-14 15:00:00,0.228647619047619,21,0,1
"258","002","502",2020-06-15 03:00:00,0.231786956521739,23,0,1
"259","002","502",2020-06-15 15:00:00,0.232063157894737,19,0,1
"260","002","502",2020-06-16 03:00:00,0.234675,12,0,1
"261","002","502",2020-06-16 15:00:00,0.234554166666667,24,0,1
"262","002","502",2020-06-17 03:00:00,0.233165217391304,23,0,1
"263","002","502",2020-06-17 15:00:00,0.22968,15,0,1
"264","002","502",2020-06-18 03:00:00,0.228608695652174,23,0,1
"265","002","502",2020-06-18 15:00:00,0.2269125,16,0,1
"266","002","502",2020-06-19 03:00:00,0.226804347826087,23,0,1
"267","002","502",2020-06-19 15:00:00,0.22701,20,0,1
"268","002","502",2020-06-20 03:00:00,0.228904545454545,22,0,1
"269","002","502",2020-06-20 15:00:00,0.2278,17,0,1
"270","002","502",2020-06-21 03:00:00,0.22895,18,0,1
"271","002","502",2020-06-21 15:00:00,0.230663636363636,22,0,1
"272","002","502",2020-06-22 03:00:00,0.233852173913043,23,0,1
"273","002","502",2020-06-22 15:00:00,0.234040909090909,22,0,1
"274","002","502",2020-06-23 03:00:00,0.2333625,24,0,1
"275","002","502",2020-06-23 15:00:00,0.232794736842105,19,0,1
"276","002","502",2020-06-24 03:00:00,0.2323625,24,0,1
"277","002","502",2020-06-24 15:00:00,0.22982380952381,21,0,1
"278","002","502",2020-06-25 03:00:00,0.231560869565217,23,0,1
"279","002","502",2020-06-25 15:00:00,0.228883333333333,18,0,1
"280","002","502",2020-06-26 03:00:00,0.2269,23,0,1
"281","002","502",2020-06-26 15:00:00,0.225719047619048,21,0,1
"282","002","502",2020-06-27 03:00:00,0.224525,24,0,1
"283","002","502",2020-06-27 15:00:00,0.22201,20,0,1
"284","002","502",2020-06-28 03:00:00,0.224391304347826,23,0,1
"285","002","502",2020-06-28 15:00:00,0.218284615384615,13,0,1
"286","002","502",2020-06-29 03:00:00,0.209986956521739,23,0,1
"287","002","502",2020-06-29 15:00:00,0.20427619047619,21,0,1
"288","002","502",2020-06-30 03:00:00,0.202465217391304,23,0,1
"289","002","502",2020-06-30 15:00:00,0.2009,19,0,1
"290","002","502",2020-07-01 03:00:00,0.20105,22,0,1
"291","002","502",2020-07-01 15:00:00,0.203266666666667,21,0,1
"292","002","502",2020-07-02 03:00:00,0.207931818181818,22,0,1
"293","002","502",2020-07-02 15:00:00,0.20816,20,0,1
"294","002","502",2020-07-03 03:00:00,0.211217391304348,23,0,1
"295","002","502",2020-07-03 15:00:00,0.210827272727273,22,0,1
"296","002","502",2020-07-04 03:00:00,0.21404347826087,23,0,1
"297","002","502",2020-07-04 15:00:00,0.213770833333333,24,0,1
"298","002","502",2020-07-05 03:00:00,0.2144,24,0,1
