"","t","mean_nsae_h2o","n"
"1",2020-05-04 14:00:00,53.0441161980751,14
"2",2020-05-05 02:00:00,-1.95461753030902,12
"3",2020-05-05 14:00:00,65.4831957380926,17
"4",2020-05-06 02:00:00,3.53847330890666,7
"5",2020-05-06 14:00:00,64.1311361419253,18
"6",2020-05-07 02:00:00,4.41272060417395,11
"7",2020-05-07 14:00:00,34.7690751065127,20
"8",2020-05-08 02:00:00,1.24674550382879,13
"9",2020-05-08 14:00:00,58.2172830200866,15
"10",2020-05-09 02:00:00,0.0874174960311967,10
"11",2020-05-09 14:00:00,51.7257162221901,21
"12",2020-05-10 02:00:00,1.99300954828408,12
"13",2020-05-10 14:00:00,58.8661027994232,20
"14",2020-05-11 02:00:00,4.13582657188356,8
"15",2020-05-11 14:00:00,68.7147250183228,17
"16",2020-05-12 02:00:00,3.97596516608717,19
"17",2020-05-12 14:00:00,56.368397103575,20
"18",2020-05-13 02:00:00,-2.56299556228331,12
"19",2020-05-13 14:00:00,24.6101752131235,18
"20",2020-05-14 02:00:00,-2.2405139792574,14
"21",2020-05-14 14:00:00,29.9686417064742,16
"22",2020-05-15 02:00:00,-0.882988384845624,13
"23",2020-05-15 14:00:00,26.7919822950582,20
"24",2020-05-16 02:00:00,1.99948037713679,9
"25",2020-05-16 14:00:00,48.9120587056999,16
"26",2020-05-17 02:00:00,0.536506571939228,8
"27",2020-05-17 14:00:00,45.6754415185847,14
"28",2020-05-18 02:00:00,4.74575925469182,16
"29",2020-05-18 14:00:00,31.4904258825894,18
"30",2020-05-19 02:00:00,6.37988726804181,17
"31",2020-05-19 14:00:00,34.5850714940787,18
"32",2020-05-20 02:00:00,1.3870679231531,17
"33",2020-05-20 14:00:00,50.0603234452237,16
"34",2020-05-21 02:00:00,6.96230094515452,15
"35",2020-05-21 14:00:00,63.2754416259423,18
"36",2020-05-22 02:00:00,-1.4140186999198,11
"37",2020-05-22 14:00:00,42.8847584602528,10
"38",2020-05-23 02:00:00,NA,10
"39",2020-05-23 14:00:00,NA,12
"40",2020-05-24 02:00:00,NA,16
"41",2020-05-24 14:00:00,NA,17
"42",2020-05-25 02:00:00,NA,18
"43",2020-05-25 14:00:00,NA,17
"44",2020-05-26 02:00:00,NA,20
"45",2020-05-26 14:00:00,NA,16
"46",2020-05-27 02:00:00,3.46619820577585,10
"47",2020-05-27 14:00:00,28.5262923379204,17
"48",2020-05-28 02:00:00,4.71733406736901,7
"49",2020-05-28 14:00:00,39.1414475921121,17
