"","horizontalPosition","verticalPosition","t","mean_vswc","n","na","percent_complete"
"1","002","502",2020-05-05 03:00:00,0.276430434782609,23,0,1
"2","002","502",2020-05-05 15:00:00,0.277915,20,0,1
"3","002","502",2020-05-06 03:00:00,0.277725,20,0,1
"4","002","502",2020-05-06 15:00:00,0.275133333333333,12,0,1
"5","002","502",2020-05-07 03:00:00,0.27363,20,0,1
"6","002","502",2020-05-07 15:00:00,0.269270588235294,17,0,1
"7","002","502",2020-05-08 03:00:00,0.265936363636364,22,0,1
"8","002","502",2020-05-08 15:00:00,0.265390909090909,22,0,1
"9","002","502",2020-05-09 03:00:00,0.265195833333333,24,0,1
"10","002","502",2020-05-09 15:00:00,0.26575,22,0,1
"11","002","502",2020-05-10 03:00:00,0.2647375,24,0,1
"12","002","502",2020-05-10 15:00:00,0.263089473684211,19,0,1
"13","002","502",2020-05-11 03:00:00,0.266291666666667,12,0,1
"14","002","502",2020-05-11 15:00:00,0.263895,20,0,1
"15","002","502",2020-05-12 03:00:00,0.261394444444444,18,0,1
"16","002","502",2020-05-12 15:00:00,0.259590476190476,21,0,1
"17","002","502",2020-05-13 03:00:00,0.259581818181818,11,0,1
"18","002","502",2020-05-13 15:00:00,0.254883333333333,24,0,1
"19","002","502",2020-05-14 03:00:00,0.252175,24,0,1
"20","002","502",2020-05-14 15:00:00,0.251252173913043,23,0,1
"21","002","502",2020-05-15 03:00:00,0.250278571428571,14,0,1
"22","002","502",2020-05-15 15:00:00,0.248073684210526,19,0,1
"23","002","502",2020-05-16 03:00:00,0.246884210526316,19,0,1
"24","002","502",2020-05-16 15:00:00,0.24675,24,0,1
"25","002","502",2020-05-17 03:00:00,0.246279166666667,24,0,1
"26","002","502",2020-05-17 15:00:00,0.243895238095238,21,0,1
"27","002","502",2020-05-18 03:00:00,0.245881818181818,22,0,1
"28","002","502",2020-05-18 15:00:00,0.2444625,24,0,1
"29","002","502",2020-05-19 03:00:00,0.2433,21,0,1
"30","002","502",2020-05-19 15:00:00,0.241428571428571,21,0,1
"31","002","502",2020-05-20 03:00:00,0.2361875,16,0,1
"32","002","502",2020-05-20 15:00:00,0.2332,18,0,1
"33","002","502",2020-05-21 03:00:00,0.230809090909091,11,0,1
"34","002","502",2020-05-21 15:00:00,0.235713636363636,22,0,1
"35","002","502",2020-05-22 03:00:00,0.236495833333333,24,0,1
"36","002","502",2020-05-22 15:00:00,0.23251,20,0,1
"37","002","502",2020-05-23 03:00:00,0.228088235294118,17,0,1
"38","002","502",2020-05-23 15:00:00,0.22705,16,0,1
"39","002","502",2020-05-24 03:00:00,0.222223529411765,17,0,1
"40","002","502",2020-05-24 15:00:00,0.223259090909091,22,0,1
"41","002","502",2020-05-25 03:00:00,0.223770833333333,24,0,1
"42","002","502",2020-05-25 15:00:00,0.228657142857143,21,0,1
"43","002","502",2020-05-26 03:00:00,0.234391304347826,23,0,1
"44","002","502",2020-05-26 15:00:00,0.234636363636364,22,0,1
"45","002","502",2020-05-27 03:00:00,0.240478260869565,23,0,1
"46","002","502",2020-05-27 15:00:00,0.242304166666667,24,0,1
"47","002","502",2020-05-28 03:00:00,0.243773333333333,15,0,1
"48","002","502",2020-05-28 15:00:00,0.246838095238095,21,0,1
"49","002","502",2020-05-29 03:00:00,0.248804545454545,22,0,1
"50","002","502",2020-05-29 15:00:00,0.246865217391304,23,0,1
"51","002","502",2020-05-30 03:00:00,0.248463157894737,19,0,1
"52","002","502",2020-05-30 15:00:00,0.246464705882353,17,0,1
"53","002","502",2020-05-31 03:00:00,0.246016666666667,6,0,1
"54","002","502",2020-05-31 15:00:00,0.246764285714286,14,0,1
