"","t","bulk_precip"
"1",2019-08-14 00:00:00,0
"2",2019-08-14 12:00:00,0
"3",2019-08-15 00:00:00,0
"4",2019-08-15 12:00:00,0
"5",2019-08-16 00:00:00,0
"6",2019-08-16 12:00:00,0
"7",2019-08-17 00:00:00,0
"8",2019-08-17 12:00:00,0
"9",2019-08-18 00:00:00,0
"10",2019-08-18 12:00:00,0
"11",2019-08-19 00:00:00,0
"12",2019-08-19 12:00:00,0
"13",2019-08-20 00:00:00,0
"14",2019-08-20 12:00:00,0
"15",2019-08-21 00:00:00,0
"16",2019-08-21 12:00:00,0
"17",2019-08-22 00:00:00,0
"18",2019-08-22 12:00:00,0
"19",2019-08-23 00:00:00,0
"20",2019-08-23 12:00:00,0
"21",2019-08-24 00:00:00,0
"22",2019-08-24 12:00:00,0
"23",2019-08-25 00:00:00,0
"24",2019-08-25 12:00:00,0
"25",2019-08-26 00:00:00,0
"26",2019-08-26 12:00:00,0
"27",2019-08-27 00:00:00,0
"28",2019-08-27 12:00:00,0
"29",2019-08-28 00:00:00,0
"30",2019-08-28 12:00:00,0
"31",2019-08-29 00:00:00,0
"32",2019-08-29 12:00:00,0
"33",2019-08-30 00:00:00,0
"34",2019-08-30 12:00:00,0
"35",2019-08-31 00:00:00,0
"36",2019-08-31 12:00:00,0
"37",2019-09-01 00:00:00,0
"38",2019-09-01 12:00:00,0
"39",2019-09-02 00:00:00,0
"40",2019-09-02 12:00:00,0
"41",2019-09-03 00:00:00,0.55
"42",2019-09-03 12:00:00,0
"43",2019-09-04 00:00:00,0.4
"44",2019-09-04 12:00:00,0
"45",2019-09-05 00:00:00,0
"46",2019-09-05 12:00:00,0
"47",2019-09-06 00:00:00,1.05
"48",2019-09-06 12:00:00,0
"49",2019-09-07 00:00:00,0
"50",2019-09-07 12:00:00,0
"51",2019-09-08 00:00:00,0.97
"52",2019-09-08 12:00:00,0
"53",2019-09-09 00:00:00,0
"54",2019-09-09 12:00:00,0
"55",2019-09-10 00:00:00,0
"56",2019-09-10 12:00:00,0
"57",2019-09-11 00:00:00,0.63
"58",2019-09-11 12:00:00,0
"59",2019-09-12 00:00:00,0
"60",2019-09-12 12:00:00,0
"61",2019-09-13 00:00:00,0
"62",2019-09-13 12:00:00,0
"63",2019-09-14 00:00:00,0
"64",2019-09-14 12:00:00,0
"65",2019-09-15 00:00:00,0
"66",2019-09-15 12:00:00,0
"67",2019-09-16 00:00:00,0
"68",2019-09-16 12:00:00,0
"69",2019-09-17 00:00:00,0
"70",2019-09-17 12:00:00,0
"71",2019-09-18 00:00:00,0
"72",2019-09-18 12:00:00,0
"73",2019-09-19 00:00:00,0
"74",2019-09-19 12:00:00,0
"75",2019-09-20 00:00:00,0
"76",2019-09-20 12:00:00,2.09
"77",2019-09-21 00:00:00,0
"78",2019-09-21 12:00:00,0
"79",2019-09-22 00:00:00,0
"80",2019-09-22 12:00:00,0
"81",2019-09-23 00:00:00,0
"82",2019-09-23 12:00:00,0
"83",2019-09-24 00:00:00,0
"84",2019-09-24 12:00:00,0
"85",2019-09-25 00:00:00,0
"86",2019-09-25 12:00:00,0
"87",2019-09-26 00:00:00,0
"88",2019-09-26 12:00:00,0
"89",2019-09-27 00:00:00,0
"90",2019-09-27 12:00:00,0
"91",2019-09-28 00:00:00,0
"92",2019-09-28 12:00:00,0
"93",2019-09-29 00:00:00,0.42
"94",2019-09-29 12:00:00,0
"95",2019-09-30 00:00:00,0
"96",2019-09-30 12:00:00,0
"97",2019-10-01 00:00:00,0
