"","t","bulk_precip","n","na","percent_complete"
"100",2020-06-23 15:00:00,0,144,0,1
"101",2020-06-24 03:00:00,0,144,0,1
"102",2020-06-24 15:00:00,0,144,1,0.993055555555556
"103",2020-06-25 03:00:00,0,144,1,0.993055555555556
"104",2020-06-25 15:00:00,0,144,0,1
"105",2020-06-26 03:00:00,0,144,0,1
"106",2020-06-26 15:00:00,0,144,1,0.993055555555556
"107",2020-06-27 03:00:00,0,144,0,1
"108",2020-06-27 15:00:00,0,144,1,0.993055555555556
"109",2020-06-28 03:00:00,0,144,1,0.993055555555556
"110",2020-06-28 15:00:00,0,144,5,0.965277777777778
"111",2020-06-29 03:00:00,0.22,144,0,1
"112",2020-06-29 15:00:00,0,144,8,0.944444444444444
"113",2020-06-30 03:00:00,0,144,0,1
"114",2020-06-30 15:00:00,0,144,8,0.944444444444444
"115",2020-07-01 03:00:00,0,144,0,1
"116",2020-07-01 15:00:00,0,144,2,0.986111111111111
"117",2020-07-02 03:00:00,0,144,0,1
"118",2020-07-02 15:00:00,0,144,0,1
"119",2020-07-03 03:00:00,0,144,0,1
"120",2020-07-03 15:00:00,0,144,2,0.986111111111111
"121",2020-07-04 03:00:00,0,144,0,1
"122",2020-07-04 15:00:00,0,144,0,1
"123",2020-07-05 03:00:00,0,144,0,1
"124",2020-07-05 15:00:00,0,144,0,1
"125",2020-07-06 03:00:00,0,144,0,1
"126",2020-07-06 15:00:00,0,144,0,1
"127",2020-07-07 03:00:00,0,144,0,1
"128",2020-07-07 15:00:00,0,144,1,0.993055555555556
"129",2020-07-08 03:00:00,0,144,0,1
"130",2020-07-08 15:00:00,0,144,0,1
"131",2020-07-09 03:00:00,0,144,0,1
"132",2020-07-09 15:00:00,0,144,0,1
"133",2020-07-10 03:00:00,0,144,0,1
"134",2020-07-10 15:00:00,0,144,0,1
"135",2020-07-11 03:00:00,0,144,0,1
"136",2020-07-11 15:00:00,0,144,0,1
"137",2020-07-12 03:00:00,0,144,0,1
"138",2020-07-12 15:00:00,0,144,3,0.979166666666667
"139",2020-07-13 03:00:00,0,144,0,1
"140",2020-07-13 15:00:00,0,144,1,0.993055555555556
"141",2020-07-14 03:00:00,0,144,0,1
"142",2020-07-14 15:00:00,0,144,0,1
"143",2020-07-15 03:00:00,0,144,0,1
"144",2020-07-15 15:00:00,0,144,0,1
"145",2020-07-16 03:00:00,0,144,0,1
"146",2020-07-16 15:00:00,0,144,0,1
"147",2020-07-17 03:00:00,0,144,0,1
"148",2020-07-17 15:00:00,0,144,0,1
"149",2020-07-18 03:00:00,0,144,0,1
"150",2020-07-18 15:00:00,0,144,0,1
"151",2020-07-19 03:00:00,0,144,0,1
"152",2020-07-19 15:00:00,0,144,2,0.986111111111111
"153",2020-07-20 03:00:00,0,144,0,1
"154",2020-07-20 15:00:00,0,144,1,0.993055555555556
"155",2020-07-21 03:00:00,0,144,0,1
"156",2020-07-21 15:00:00,0,144,1,0.993055555555556
"157",2020-07-22 03:00:00,0,144,0,1
"158",2020-07-22 15:00:00,0,144,0,1
"159",2020-07-23 03:00:00,0,144,0,1
"160",2020-07-23 15:00:00,0,144,3,0.979166666666667
"161",2020-07-24 03:00:00,0,144,0,1
"162",2020-07-24 15:00:00,0,144,2,0.986111111111111
"163",2020-07-25 03:00:00,0,144,0,1
"164",2020-07-25 15:00:00,0,144,0,1
"165",2020-07-26 03:00:00,0,144,0,1
"166",2020-07-26 15:00:00,0,144,0,1
"167",2020-07-27 03:00:00,0,144,0,1
"168",2020-07-27 15:00:00,0,144,2,0.986111111111111
"169",2020-07-28 03:00:00,0,144,0,1
"170",2020-07-28 15:00:00,0,144,0,1
"171",2020-07-29 03:00:00,0,144,0,1
"172",2020-07-29 15:00:00,0,144,0,1
"173",2020-07-30 03:00:00,0,144,0,1
"174",2020-07-30 15:00:00,0,144,0,1
"175",2020-07-31 03:00:00,0,144,0,1
"176",2020-07-31 15:00:00,0,108,0,1
