"","t","mean_nsae_h2o","n","na","percent_complete"
"1",2020-05-05 03:00:00,2.26162971373333,11,0,1
"2",2020-05-05 15:00:00,60.2465529611976,18,0,1
"3",2020-05-06 03:00:00,6.76231075217754,6,0,1
"4",2020-05-06 15:00:00,65.9131331757453,17,0,1
"5",2020-05-07 03:00:00,4.41272060417395,11,0,1
"6",2020-05-07 15:00:00,31.6028718716297,22,0,1
"7",2020-05-08 03:00:00,3.59226242631433,12,0,1
"8",2020-05-08 15:00:00,56.3554935337989,15,0,1
"9",2020-05-09 03:00:00,5.77590908090903,11,0,1
"10",2020-05-09 15:00:00,53.9328906010013,19,0,1
"11",2020-05-10 03:00:00,7.9860940810275,14,0,1
"12",2020-05-10 15:00:00,60.5240474129716,18,0,1
"13",2020-05-11 03:00:00,9.03510614186143,10,0,1
"14",2020-05-11 15:00:00,65.7656845711544,17,0,1
"15",2020-05-12 03:00:00,9.80885274188696,19,0,1
"16",2020-05-12 15:00:00,54.4199466752553,19,0,1
"17",2020-05-13 03:00:00,-1.73604251976255,13,0,1
"18",2020-05-13 15:00:00,25.6393181190943,16,0,1
"19",2020-05-14 03:00:00,-0.261436259090207,16,0,1
"20",2020-05-14 15:00:00,28.0154698976148,16,0,1
"21",2020-05-15 03:00:00,4.29214133401853,13,0,1
"22",2020-05-15 15:00:00,26.2571940518622,18,0,1
"23",2020-05-16 03:00:00,11.0299265809393,11,0,1
"24",2020-05-16 15:00:00,48.5185050210784,14,0,1
"25",2020-05-17 03:00:00,9.21059048272503,10,0,1
"26",2020-05-17 15:00:00,42.082440900931,13,0,1
"27",2020-05-18 03:00:00,6.78922477713935,17,0,1
"28",2020-05-18 15:00:00,29.8568906270107,18,0,1
"29",2020-05-19 03:00:00,9.9227148836231,17,0,1
"30",2020-05-19 15:00:00,31.7677995821225,17,0,1
"31",2020-05-20 03:00:00,3.85505781800949,18,0,1
"32",2020-05-20 15:00:00,48.2432694223694,16,0,1
"33",2020-05-21 03:00:00,15.0521531923161,15,0,1
"34",2020-05-21 15:00:00,63.6007704492221,16,0,1
"35",2020-05-22 03:00:00,3.36289017153056,13,0,1
"36",2020-05-22 15:00:00,41.2691148912786,9,0,1
"37",2020-05-23 03:00:00,NA,9,9,0
"38",2020-05-23 15:00:00,NA,14,14,0
"39",2020-05-24 03:00:00,NA,16,16,0
"40",2020-05-24 15:00:00,NA,17,17,0
"41",2020-05-25 03:00:00,NA,18,18,0
"42",2020-05-25 15:00:00,NA,17,17,0
"43",2020-05-26 03:00:00,NA,18,18,0
"44",2020-05-26 15:00:00,31.5802327706441,16,10,0.375
"45",2020-05-27 03:00:00,4.90286521224401,11,0,1
"46",2020-05-27 15:00:00,27.4137737868886,17,0,1
"47",2020-05-28 03:00:00,5.44410309369966,6,0,1
"48",2020-05-28 15:00:00,34.9594757941035,19,0,1
"49",2020-05-29 03:00:00,7.80872124602271,8,0,1
"50",2020-05-29 15:00:00,43.3048221749005,16,0,1
"51",2020-05-30 03:00:00,17.0698338757493,13,2,0.846153846153846
"52",2020-05-30 15:00:00,39.6048500606314,15,9,0.4
"53",2020-05-31 03:00:00,2.61852151826993,13,5,0.615384615384615
"54",2020-05-31 15:00:00,NA,19,19,0
"55",2020-06-01 03:00:00,NA,17,17,0
"56",2020-06-01 15:00:00,NA,15,15,0
"57",2020-06-02 03:00:00,4.4766257898103,19,6,0.684210526315789
"58",2020-06-02 15:00:00,27.2148995698882,18,5,0.722222222222222
"59",2020-06-03 03:00:00,8.39710277547954,10,0,1
"60",2020-06-03 15:00:00,39.699756053215,16,13,0.1875
"61",2020-06-04 03:00:00,NA,17,17,0
"62",2020-06-04 15:00:00,NA,18,18,0
"63",2020-06-05 03:00:00,NA,17,17,0
"64",2020-06-05 15:00:00,35.9231188803575,18,17,0.0555555555555556
"65",2020-06-06 03:00:00,NA,13,13,0
"66",2020-06-07 03:00:00,26.5855917004412,8,7,0.125
"67",2020-06-07 15:00:00,50.0970582164382,11,7,0.363636363636364
"68",2020-06-08 03:00:00,NA,14,14,0
"69",2020-06-08 15:00:00,NA,16,16,0
"70",2020-06-09 03:00:00,20.8137851013866,16,15,0.0625
"71",2020-06-09 15:00:00,NA,18,18,0
"72",2020-06-10 03:00:00,39.0186782536705,19,18,0.0526315789473685
"73",2020-06-10 15:00:00,60.4439980956887,12,11,0.0833333333333334
"74",2020-06-11 03:00:00,NA,21,21,0
"75",2020-06-11 15:00:00,NA,19,19,0
"76",2020-06-12 03:00:00,NA,16,16,0
"77",2020-06-12 15:00:00,NA,19,19,0
"78",2020-06-13 03:00:00,NA,21,21,0
"79",2020-06-13 15:00:00,NA,19,19,0
"80",2020-06-14 03:00:00,0.723046086658005,12,9,0.25
"81",2020-06-14 15:00:00,NA,17,17,0
"82",2020-06-15 03:00:00,1.47929354563676,19,11,0.421052631578947
"83",2020-06-15 15:00:00,NA,16,16,0
"84",2020-06-16 03:00:00,1.14645161939241,12,6,0.5
"85",2020-06-16 15:00:00,15.4592845714308,8,0,1
"86",2020-06-17 03:00:00,11.9392148292541,13,10,0.230769230769231
"87",2020-06-17 15:00:00,NA,12,12,0
"88",2020-06-18 03:00:00,15.7378181917427,22,19,0.136363636363636
"89",2020-06-18 15:00:00,8.93856924713451,11,2,0.818181818181818
"90",2020-06-19 03:00:00,3.25959751397953,19,14,0.263157894736842
"91",2020-06-19 15:00:00,25.774610257586,14,7,0.5
"92",2020-06-20 03:00:00,NA,22,22,0
"93",2020-06-20 15:00:00,NA,15,15,0
"94",2020-06-21 03:00:00,21.6182902001678,20,19,0.05
"95",2020-06-21 15:00:00,18.9501510832003,12,5,0.583333333333333
"96",2020-06-22 03:00:00,-1.42539065324104,19,0,1
"97",2020-06-22 15:00:00,29.6888467812962,10,3,0.7
"98",2020-06-23 03:00:00,5.32101653299552,12,0,1
"99",2020-06-23 15:00:00,40.7440550313258,8,3,0.625
"100",2020-06-24 03:00:00,NA,22,22,0
"101",2020-06-24 15:00:00,3.63859984406357,17,15,0.117647058823529
"102",2020-06-25 03:00:00,1.4861030221474,10,0,1
"103",2020-06-25 15:00:00,24.6200556167161,8,0,1
"104",2020-06-26 03:00:00,-0.0521550250451655,10,0,1
"105",2020-06-26 15:00:00,23.0454155067346,9,1,0.888888888888889
"106",2020-06-27 03:00:00,-2.41250979898919,15,9,0.4
"107",2020-06-27 15:00:00,43.4981443295659,17,15,0.117647058823529
"108",2020-06-28 03:00:00,11.1327392739597,16,3,0.8125
"109",2020-06-28 15:00:00,31.8714113006605,16,0,1
"110",2020-06-29 03:00:00,NA,7,7,0
"111",2020-06-29 15:00:00,125.757996804279,16,13,0.1875
"112",2020-06-30 03:00:00,3.83042293804093,17,14,0.176470588235294
"113",2020-06-30 15:00:00,43.6303461132042,11,7,0.363636363636364
"114",2020-07-01 03:00:00,17.7978487524439,11,10,0.0909090909090909
"115",2020-07-01 15:00:00,NA,17,17,0
"116",2020-07-02 03:00:00,NA,12,12,0
"117",2020-07-02 15:00:00,NA,13,13,0
"118",2020-07-03 03:00:00,NA,15,15,0
"119",2020-07-03 15:00:00,NA,18,18,0
"120",2020-07-04 03:00:00,0.478568700125432,14,12,0.142857142857143
"121",2020-07-04 15:00:00,NA,18,18,0
"122",2020-07-05 03:00:00,NA,14,14,0
"123",2020-07-05 15:00:00,33.8146757099577,16,13,0.1875
"124",2020-07-06 03:00:00,NA,18,18,0
"125",2020-07-06 15:00:00,15.8227032569358,17,16,0.0588235294117647
"126",2020-07-07 03:00:00,NA,13,13,0
"127",2020-07-07 15:00:00,NA,20,20,0
"128",2020-07-08 03:00:00,2.98539043377101,14,7,0.5
"129",2020-07-08 15:00:00,19.0124673945324,12,10,0.166666666666667
"130",2020-07-09 03:00:00,NA,22,22,0
"131",2020-07-09 15:00:00,NA,14,14,0
"132",2020-07-10 03:00:00,NA,21,21,0
"133",2020-07-10 15:00:00,NA,14,14,0
"134",2020-07-11 03:00:00,NA,17,17,0
"135",2020-07-11 15:00:00,NA,19,19,0
"136",2020-07-12 03:00:00,NA,22,22,0
"137",2020-07-12 15:00:00,NA,14,14,0
"138",2020-07-13 03:00:00,-6.12757536091588,20,18,0.1
"139",2020-07-13 15:00:00,26.802457622268,17,14,0.176470588235294
"140",2020-07-14 03:00:00,-0.233686376452536,12,4,0.666666666666667
"141",2020-07-14 15:00:00,NA,20,20,0
"142",2020-07-15 03:00:00,-7.90467417386669,16,15,0.0625
"143",2020-07-15 15:00:00,NA,17,17,0
"144",2020-07-16 03:00:00,NA,16,16,0
"145",2020-07-16 15:00:00,NA,13,13,0
"146",2020-07-17 03:00:00,NA,18,18,0
"147",2020-07-17 15:00:00,51.9417487576907,17,16,0.0588235294117647
"148",2020-07-18 03:00:00,-13.3906050633882,21,19,0.0952380952380952
